ts_unix,gpu_util_percent,gpu_mem_mb
1767362235.4740362,0.0,4684
1767362235.9755528,53.0,4716
1767362236.4771497,40.0,4714
1767362236.978508,40.0,4716
1767362237.480709,40.0,4714
1767362237.9820917,40.0,4716
1767362238.4836073,40.0,4714
1767362238.9851298,40.0,4716
1767362239.4864411,40.0,4714
1767362239.9877973,40.0,4716
1767362240.4891264,40.0,4714
1767362240.9905634,40.0,4716
1767362241.4920642,40.0,4714
1767362241.9934468,39.0,4716
1767362242.494913,40.0,4714
1767362242.9963377,39.0,4716
1767362243.4977214,39.0,4714
1767362243.9992244,39.0,4716
1767362244.5006332,39.0,4714
1767362245.0021396,39.0,4716
1767362245.5036054,39.0,4714
1767362246.0050013,39.0,4716
1767362246.5064168,39.0,4714
1767362247.00784,39.0,4716
1767362247.5092618,39.0,4714
1767362248.0107853,39.0,4716
1767362248.5129082,39.0,4714
1767362249.014358,39.0,4716
1767362249.5158446,39.0,4714
1767362250.017192,39.0,4716
1767362250.5185478,39.0,4714
1767362251.0200038,39.0,4716
1767362251.5213559,39.0,4714
1767362252.0228562,39.0,4716
1767362252.5243342,39.0,4714
1767362253.0257354,39.0,4716
1767362253.5271566,39.0,4714
1767362254.0286095,38.0,4716
1767362254.5299842,39.0,4714
1767362255.0314407,39.0,4716
1767362255.53293,39.0,4714
1767362256.0343049,39.0,4716
1767362256.536473,39.0,4714
1767362257.0382738,39.0,4716
1767362257.5397,38.0,4714
1767362258.0415208,38.0,4716
1767362258.5431962,39.0,4716
1767362259.044716,39.0,4716
1767362259.5461159,39.0,4716
1767362260.0475352,39.0,4716
1767362260.5489979,39.0,4716
1767362261.0504463,38.0,4716
1767362261.5522165,38.0,4716
1767362262.0536652,38.0,4716
1767362262.5550473,40.0,4716
1767362263.0564923,39.0,4716
1767362263.5581348,39.0,4716
1767362264.0595942,38.0,4716
1767362264.560887,40.0,4716
1767362265.0621967,39.0,4716
1767362265.5634532,27.0,4716
1767362266.0647297,0.0,4716
1767362266.5660117,0.0,4716
1767362267.06738,0.0,4716
1767362267.5686927,0.0,4716
1767362268.0700433,0.0,4716
1767362268.5713584,0.0,4716
1767362269.0727184,0.0,4716
1767362269.5740168,0.0,4716
1767362270.0753636,0.0,4716
1767362270.5766563,0.0,4716
