ts_unix,latency_ms,status
1767362235.4608862,220.20387649536133,200
1767362235.6584117,199.96213912963867,200
1767362235.857856,207.22079277038574,200
1767362236.0583818,197.11875915527344,200
1767362236.2577283,202.73733139038086,200
1767362236.4585044,197.0059871673584,200
1767362236.6577315,200.55866241455078,200
1767362236.8579512,192.2323703765869,200
1767362237.0578156,200.79970359802246,200
1767362237.2582467,205.91282844543457,200
1767362237.457769,203.99999618530273,200
1767362237.657838,193.39680671691895,200
1767362237.857788,201.11656188964844,200
1767362238.058292,195.83988189697266,200
1767362238.2585454,206.7258358001709,200
1767362238.4583645,197.14784622192383,200
1767362238.6577415,207.96751976013184,200
1767362238.8585396,196.4282989501953,200
1767362239.0582612,201.89285278320312,200
1767362239.258536,194.2610740661621,200
1767362239.4583538,205.3687572479248,200
1767362239.6579225,194.1380500793457,200
1767362239.8586156,204.85424995422363,200
1767362240.0583723,198.03309440612793,200
1767362240.2586346,206.7739963531494,200
1767362240.4584975,196.57492637634277,200
1767362240.658381,209.13219451904297,200
1767362240.8585367,198.52638244628906,200
1767362241.0582182,208.13536643981934,200
1767362241.2576866,193.24302673339844,200
1767362241.4585967,209.6579074859619,200
1767362241.657692,195.72734832763672,200
1767362241.8578603,207.76057243347168,200
1767362242.0576515,201.25102996826172,200
1767362242.2584507,207.72862434387207,200
1767362242.458144,197.4332332611084,200
1767362242.6578128,200.9108066558838,200
1767362242.858488,198.49872589111328,200
1767362243.058132,204.6658992767334,200
1767362243.2581148,204.81634140014648,200
1767362243.4576504,224.5938777923584,200
1767362243.6576328,224.04813766479492,200
1767362243.8586214,221.64678573608398,200
1767362244.057829,222.4280834197998,200
1767362244.2577147,222.30982780456543,200
1767362244.457638,222.50080108642578,200
1767362244.65772,222.49531745910645,200
1767362244.8576398,222.5651741027832,200
1767362245.0580895,222.30076789855957,200
1767362245.2580693,222.98717498779297,200
1767362245.4579983,223.80328178405762,200
1767362245.6581843,222.51510620117188,200
1767362245.858607,221.30799293518066,200
1767362246.0576987,222.05638885498047,200
1767362246.257827,222.1221923828125,200
1767362246.457697,222.6853370666504,200
1767362246.6578133,222.8548526763916,200
1767362246.8581977,221.84991836547852,200
1767362247.057707,222.43905067443848,200
1767362247.2579198,222.07069396972656,200
1767362247.4579268,223.63042831420898,200
1767362247.6578321,222.92494773864746,200
1767362247.8586364,221.98772430419922,200
1767362248.058334,221.90046310424805,200
1767362248.258207,222.63383865356445,200
1767362248.4579005,222.10144996643066,200
1767362248.657604,222.72849082946777,200
1767362248.857812,222.38707542419434,200
1767362249.0581684,222.65934944152832,200
1767362249.2582746,221.24242782592773,200
1767362249.4576442,224.45297241210938,200
1767362249.6586227,221.89068794250488,200
1767362249.8584154,222.86462783813477,200
1767362250.0582533,222.31435775756836,200
1767362250.2579107,222.92757034301758,200
1767362250.458545,222.1810817718506,200
1767362250.658619,221.0984230041504,200
1767362250.857625,222.96619415283203,200
1767362251.0585458,222.34702110290527,200
1767362251.2582042,221.76289558410645,200
1767362251.4583795,221.55237197875977,200
1767362251.6584947,222.03397750854492,200
1767362251.8586202,221.40860557556152,200
1767362252.058195,221.34089469909668,200
1767362252.257585,224.24745559692383,200
1767362252.4585028,222.56112098693848,200
1767362252.6585312,222.3968505859375,200
1767362252.8578682,222.53847122192383,200
1767362253.0576127,222.9771614074707,200
1767362253.2578616,222.86438941955566,200
1767362253.4576128,222.75543212890625,200
1767362253.6577902,223.2837677001953,200
1767362253.8580868,222.57733345031738,200
1767362254.0581577,222.33033180236816,200
1767362254.258006,222.93901443481445,200
1767362254.4581716,222.581148147583,200
1767362254.6583948,222.40447998046875,200
1767362254.858551,221.44341468811035,200
1767362255.0582297,222.90492057800293,200
1767362255.2583015,222.8105068206787,200
1767362255.4585836,222.57351875305176,200
1767362255.6582284,221.75192832946777,200
1767362255.8577583,222.1810817718506,200
1767362256.0578134,222.25689888000488,200
1767362256.258534,222.05328941345215,200
1767362256.4585567,221.14825248718262,200
1767362256.6581578,221.5135097503662,200
1767362256.8583565,221.72784805297852,200
1767362257.0582952,221.86875343322754,200
1767362257.2577674,222.517728805542,200
1767362257.4580064,222.07188606262207,200
1767362257.6579325,221.815824508667,200
1767362257.8579142,222.8989601135254,200
1767362258.0582848,221.543550491333,200
1767362258.2576942,222.14913368225098,200
1767362258.457622,223.31619262695312,200
1767362258.658602,222.09882736206055,200
1767362258.8585515,221.78959846496582,200
1767362259.0583994,221.8494415283203,200
1767362259.258153,221.4674949645996,200
1767362259.4578705,221.954345703125,200
1767362259.6583946,221.61006927490234,200
1767362259.8586023,222.20087051391602,200
1767362260.0582604,222.00250625610352,200
1767362260.2584548,221.04430198669434,200
1767362260.4578023,221.57621383666992,200
1767362260.6581104,222.6855754852295,200
1767362260.8585272,221.93431854248047,200
1767362261.058246,222.21612930297852,200
1767362261.258166,222.40042686462402,200
1767362261.4583628,221.51947021484375,200
1767362261.6576118,222.85985946655273,200
1767362261.8577874,222.61643409729004,200
1767362262.0578344,222.3823070526123,200
1767362262.2575893,222.60212898254395,200
1767362262.4577925,222.4709987640381,200
1767362262.6580808,222.7458953857422,200
1767362262.8583272,221.8794822692871,200
1767362263.057656,223.72841835021973,200
1767362263.2578602,222.4440574645996,200
1767362263.4579544,222.4600315093994,200
1767362263.6580906,222.57375717163086,200
1767362263.8581038,223.78039360046387,200
1767362264.0584877,221.89664840698242,200
1767362264.2580085,222.5058078765869,200
1767362264.4580886,221.48633003234863,200
1767362264.6580913,221.68779373168945,200
1767362264.8584845,221.47750854492188,200
1767362265.0585442,222.0284938812256,200
1767362265.2584107,60001.92618370056,504
